cod;delegacia;Distancia do Centro – Texto;Distancia;Pos_distancia;Latitude;Longitude;NumDP;Região
1410;001 DP - Sé;11 min (850 m);0,85;9;-23,5571488;-46,6349385;1;Centro 
1246;002 DP - Bom Retiro;52 min (4,1 km);4,1 ;9;-23,5231935;-46,6447344;2;Centro 
1143;003 DP - Campos Elísios;28 min (2,1 km);2,1 ;9;-23,5393975;-46,6404542;3;Centro 
1067;004 DP - Consolação;32 min (2,3 km);2,3 ;9;-23,5506073;-46,6499202;4;Centro 
1015;005 DP - Aclimação;58 min (4,3 km);4,3 ;9;-23,5505197;-46,6828424;5;Centro 
983;006 DP - Cambuci;32 min (2,5 km);2,5 ;9;-23,5676153;-46,6259208;6;Centro 
957;007 DP - Lapa;1 h 48 min (8,5 km);8,5 ;13;-23,5293683;-46,6973343;7;Zona Oeste
934;008 DP - Brás;59 min (4,7 km);4,7 ;9;-23,548324;-46,5959894;8;Zona Leste 
915;009 DP - Carandiru;1 h 27 min (7,0 km);7,0 ;13;-23,5032596;-46,6149002;9;Zona Norte
1478;01 DP Pessoa com Deficiência;27 min (2,1 km);2,1 ;9;;;;#N/DISP
1275;010 DP - Penha de França;1 h 52 min (8,9 km);8,9 ;13;-23,528905;-46,5569525;10;Zona Leste 
1265;011 DP - Santo Amaro;3 h 12 min (14,8 km);14,8;13;-23,6468437;-46,7096367;11;Zona Sul 
1262;012 DP - Pari;50 min (4,0 km);4,0 ;9;-23,5298559;-46,6146414;12;Centro 
1259;013 DP - Casa Verde;1 h 35 min (7,3 km);7,3 ;13;-23,500449;-46,6514057;13;Zona Norte
1257;014 DP - Pinheiros;1 h 36 min (7,3 km);7,3 ;13;-23,5618445;-46,6935168;14;Zona Oeste
1256;015 DP - Itaim Bibi;1 h 24 min (6,3 km);6,3 ;13;-23,5818428;-46,6766986;15;Zona Oeste
1255;016 DP - Vila Clementino;1 h 21 min (6,3 km);6,3 ;13;-23,6017833;-46,6399601;16;Zona Sul 
1254;017 DP - Ipiranga;1 h 15 min (5,8 km);5,8 ;13;-23,5908024;-46,6109145;17;Zona Sul 
1253;018 DP - Alto da Moóca;1 h 6 min (5,2 km);5,2 ;12;-23,5703876;-46,5936973;18;Zona Leste 
1252;019 DP - Vila Maria;1 h 30 min (7,2 km);7,2 ;13;-23,5176193;-46,5869016;19;Zona Norte
1154;020 DP - Água Fria;1 h 58 min (9,1 km);9,1 ;13;-23,4781366;-46,623014,;20;Zona Norte
1153;021 DP - Vila Matilde;2 h 34 min (12,1 km);12,1;13;-23,5370402;-46,5287986;21;Zona Leste 
1152;022 DP - São Miguel Paulista;4 h 42 min (22,0 km);22,0;13;-23,4963456;-46,4435199;22;Zona Leste 
1151;023 DP - Perdizes;1 h 3 min (4,6 km);4,6 ;12;-23,5370222;-46,6675906;23;Zona Oeste
1150;024 DP - Ponte Rasa;3 h 19 min (15,4 km);15,4;13;-23,5098659;-46,5000514;24;Zona Leste 
1149;025 DP - Parelheiros;7 h 44 min (36,2 km);36,2;13;-23,8248866;-46,7365554;25;Zona Sul 
1148;026 DP - Sacomã;2 h 6 min (9,7 km);9,7 ;12;-23,6227758;-46,6043504;26;Zona Sul 
1147;027 DP - Campo Belo;2 h 7 min (10,0 km);10,0;12;-23,6152597;-46,6771869;27;Zona Sul 
1146;028 DP - Freguesia do Ó;2 h 23 min (11,1 km);11,1;13;-23,4947614;-46,6999333;28;Zona Norte
1145;029 DP - Vila Diva;1 h 52 min (8,7 km);8,7 ;13;-23,5736722;-46,5598473;29;Zona Leste 
1078;030 DP - Tatuapé;1 h 38 min (7,6 km);7,6 ;13;-23,5736269;-46,5752166;30;Zona Leste 
1077;031 DP - Vila Carrão;2 h 18 min (11,0 km);11,0;13;-23,548963;-46,539367,;31;Zona Leste 
1076;032 DP - Itaquera;4 h 21 min (20,9 km);20,9;13;-23,5342636;-46,4540247;32;Zona Leste 
1075;033 DP - Pirituba;3 h 16 min (15,5 km);15,5;13;-23,4973183;-46,7479872;33;Zona Norte
1074;034 DP - Vila Sonia;2 h 38 min (11,9 km);11,9;13;-23,5880732;-46,7290297;34;Zona Sul 
1073;035 DP - Jabaquara;2 h 21 min (11,0 km);11,0;13;-23,6395391;-46,6454003;35;Zona Sul 
1072;036 DP - Vila Mariana;58 min (4,3 km);4,3 ;9;-23,5791472;-46,6530785;36;Zona Sul 
1071;037 DP - Campo Limpo;4 h 15 min (19,6 km);19,6;13;-23,6487095;-46,7564135;37;Zona Sul 
1070;038 DP - Vila Amália;2 h 26 min (11,2 km);11,2;13;-23,4696353;-46,6504784;38;Zona Norte
1069;039 DP - Vila Gustavo;2 h 6 min (9,8 km);9,8 ;12;-23,4833782;-46,5921092;39;Zona Norte
1027;040 DP - Vila Santa Maria;2 h 4 min (9,6 km);9,6 ;12;-23,4943081;-46,6801249;40;Zona Norte
1026;041 DP - Vila Rica;2 h 50 min (13,2 km);13,2;13;-23,5793131;-46,5198448;41;Zona Leste 
1025;042 DP - Parque São Lucas;2 h 12 min (10,3 km);10,3;13;-23,5896394;-46,5552753;42;Zona Leste 
1024;043 DP - Cidade Ademar;2 h 59 min (13,9 km);13,9;13;-23,6567167;-46,671329,;43;Zona Sul 
1023;044 DP - Guaianazes;5 h 13 min (24,8 km);24,8;13;-23,5423256;-46,4211154;44;Zona Leste 
1022;045 DP - Vila Brasilândia;2 h 48 min (12,8 km);12,8;13;-23,4691679;-46,6919304;45;Zona Norte
1021;046 DP - Perus;5 h 3 min (23,2 km);23,2;12;-23,4043957;-46,7402332;46;Zona Norte
1020;047 DP - Capão Redondo;5 h 14 min (24,1 km);24,1;13;-23,6647834;-46,7848735;47;Zona Sul 
1019;048 DP - Cidade Dutra;4 h 45 min (22,2 km);22,2;13;-23,7123197;-46,6979187;48;Zona Sul 
1018;049 DP - São Mateus;4 h 14 min (19,5 km);19,5;13;-23,6058329;-46,4728613;49;Zona Leste 
994;050 DP - Itaim Paulista;5 h 50 min (27,4 km);27,4;13;-23,5051175;-46,3990204;50;Zona Leste 
993;051 DP - Butantã;2 h 22 min (10,9 km);10,9;13;-23,5714179;-46,7243518;51;Zona Oeste
992;052 DP - Parque São Jorge;1 h 39 min (7,9 km);7,9 ;13;-23,5361334;-46,5656003;52;Zona Leste 
991;053 DP - Parque do Carmo;4 h 14 min (19,7 km);19,7;13;-23,5667762;-46,4683669;53;Zona Leste 
990;054 DP - Cidade Tiradentes;5 h 52 min (27,1 km);27,1;13;-23,6061293;-46,403517,;54;Zona Leste 
989;055 DP - Parque São Rafael;4 h 21 min (20,5 km);20,5;13;-23,6236071;-46,4724862;55;Zona Sul 
988;056 DP - Vila Alpina;1 h 57 min (9,2 km);9,2 ;13;-23,5861151;-46,5775026;56;Zona Leste 
987;057 DP - Parque da Moóca;1 h 12 min (5,6 km);5,6 ;13;-23,5688523;-46,5867708;57;Zona Leste 
986;058 DP - Vila Formosa;2 h 7 min (9,9 km);9,9 ;12;-23,5624864;-46,5474197;58;Zona Leste 
985;059 DP - Jardim Noemia;5 h 25 min (25,6 km);25,6;13;-23,487467;-46,4123545;59;Zona Leste 
966;062 DP - Ermelino Matarazzo;3 h 57 min (18,6 km);18,6;13;-23,4895961;-46,4840259;62;Zona Leste 
965;063 DP - Vila Jacuí;4 h 33 min (21,4 km);21,4;13;-23,5096477;-46,4488947;63;Zona Leste 
964;064 DP - Cidade A E Carvalho;3 h 48 min (17,8 km);17,8;13;-23,5209066;-46,4800202;64;Zona Leste 
963;065 DP - Artur Alvim;3 h 37 min (17,4 km);17,4;13;-23,5440001;-46,4833625;65;Zona Leste 
962;066 DP - Vale do Aricanduva;3 h 28 min (16,6 km);16,6;13;-23,5539336;-46,4944425;66;Zona Leste 
961;067 DP - Jardim Robru;5 h 28 min (25,8 km);25,8;13;-23,5202019;-46,4136847;67;Zona Leste 
960;068 DP - Lajeado;5 h 43 min (27,4 km);27,4;13;-23,5359542;-46,4004295;68;Zona Leste 
959;069 DP - Teotônio Vilela;3 h 29 min (16,4 km);16,4;13;-23,6084267;-46,5033118;69;Zona Leste 
945;070 DP - Vila Ema;2 h 39 min (12,5 km);12,5;13;-23,5987243;-46,5354841;70;Zona Leste 
943;072 DP - Vila Penteado;2 h 46 min (12,6 km);12,6;13;-23,4636336;-46,6809602;72;Zona Norte
942;073 DP - Jaçanã;2 h 48 min (13,3 km);13,3;13;-23,4586257;-46,5874351;73;Zona Norte
941;074 DP - Jaraguá;3 h 58 min (18,2 km);18,2;13;-23,4457317;-46,7190538;74;Zona Norte
940;075 DP - Jardim Arpoador;4 h 33 min (20,9 km);20,9;13;-23,5972932;-46,7981779;75;Zona Oeste
938;077 DP - Santa Cecília;39 min (3,0 km);3,0 ;9;-23,5366481;-46,6510254;77;Centro 
937;078 DP - Jardins;1 h 8 min (5,0 km);5,0 ;12;-23,566118;-46,6715132;78;Zona Oeste
926;080 DP - Vila Joaniza;3 h 24 min (15,7 km);15,7;13;-23,6736977;-46,6620069;80;Zona Sul 
925;081 DP - Belém;1 h 15 min (6,0 km);6,0 ;13;-23,535383;-46,5867314;81;Zona Leste 
923;083 DP - Parque Bristol;2 h 57 min (13,9 km);13,9;13;-23,6565484;-46,6160051;83;Zona Sul 
921;085 DP - Jardim Mirna;6 h 8 min (28,7 km);28,7;12;-23,7706305;-46,6993203;85;Zona Sul 
919;087 DP - Vila Pereira Barreto;2 h 56 min (13,8 km);13,8;13;-23,4819879;-46,7274173;87;Zona Norte
917;089 DP - Portal do Morumbi;3 h 15 min (14,8 km);14,8;13;-23,6084035;-46,7382333;89;Zona Sul 
910;090 DP - Parque Novo Mundo;2 h 8 min (10,1 km);10,1;12;-23,5012364;-46,572146,;90;Zona Norte
909;091 DP - Ceagesp;2 h 32 min (11,7 km);11,7;13;-23,5369039;-46,7355872;91;Zona Oeste
908;092 DP - Parque Santo Antônio;4 h 26 min (20,4 km);20,4;13;-23,6628954;-46,7583935;92;Zona Sul 
907;093 DP - Jaguaré;2 h 53 min (13,7 km);13,7;13;-23,5406606;-46,7639342;93;Zona Oeste
905;095 DP - Heliópolis;1 h 47 min (8,6 km);8,6 ;13;-23,6038034;-46,5971843;95;Zona Sul 
904;096 DP - Monções;1 h 58 min (9,0 km);9,0 ;13;-23,6044009;-46,6951286;96;Zona Sul 
903;097 DP - Americanópolis;2 h 49 min (13,3 km);13,3;13;-23,653617;-46,6354413;97;Zona Sul 
902;098 DP - Jardim Míriam;3 h 33 min (16,7 km);16,7;13;-23,6851677;-46,6394415;98;Zona Sul 
901;099 DP - Campo Grande;3 h 21 min (15,8 km);15,8;13;-23,6619815;-46,6892444;99;Zona Sul 
1270;100 DP - Jardim Herculano;5 h 2 min (23,3 km);23,3;12;-23,6929839;-46,7621557;100;Zona Sul 
1269;101 DP - Jardim das Imbuias;5 h 11 min (24,2 km);24,2;13;-23,7297932;-46,7116229;101;Zona Sul 
1268;102 DP - Socorro;3 h 49 min (17,9 km);17,9;13;-23,6763238;-46,7142509;102;Zona Sul 
1267;103 DP - Cohab Itaquera;4 h 51 min (22,8 km);22,8;13;-23,5519727;-46,4392091;103;Zona Leste 
1251;1ª DDM - 1ª Seccional - Centro;;;;-23,5660676;-46,6714825;;
1144;2ª DDM - 2ª Seccional - Sul;;;;-23,6043332;-46,6951145;;
1068;3ª DDM - 3ª Seccional - Oeste;;;;-23,5602416;-46,7493921;;
1017;4ª DDM - 4ª Seccional - Norte;;;;-23,6097535;-46,7579841;;
984;5ª DDM - 5ª Seccional - Leste;;;;-23,5361515;-46,5655356;;
958;6ª DDM - 6ª Seccional - Santo Amaro;;;;-23,6468819;-46,7096476;;
935;7ª DDM - 7ª Seccional - Itaquera;;;;-23,5519606;-46,4390604;;
916;8ª DDM - 8ª Seccional São Mateus;;;;-23,5539437;-46,4944409;;
900;9ª DDM - 3ª Seccional - Oeste;;;;-23,5539437;-46,4944409;;
1476;Central de Flagrantes II - 91 DP;;;;#VALOR!;#VALOR!;;
773;Del, Aeroporto Int, SP - Guarulhos (SP);;;;#VALOR!;#VALOR!;;
772;Del, Aeroporto Int, Viracopos - CPS (SP);;;;-23,4305682;-46,475237,;;
771;Del, Aeroporto SP - Congonhas;;;;-23,5196599;-46,5984324;;
764;Del, Pol, Atendimento ao Turista;;;;-23,6109672;-46,603576,;;
11;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro;;;;-23,5196599;-46,5984324;;
4;Delegacia do Idoso - 2ª Seccional - Sul;;;;;;;
5;Delegacia do Idoso - 3ª Seccional - Oeste;;;;-23,5196599;-46,5984324;;
6;Delegacia do Idoso - 4ª Seccional - Norte;;;;-23,5196599;-46,5984324;;
7;Delegacia do Idoso - 5ª Seccional - Leste;;;;-23,5356629;-46,5870306;;
8;Delegacia do Idoso - 6ª Secional - Santo Amaro;;;;-23,5196599;-46,5984324;;
9;Delegacia do Idoso - 7ª Seccional - Itaquera;;;;-23,5356629;-46,5870306;;
10;Delegacia do Idoso - 8ª Seccional - São Mateus;;;;;;;
758;Delegacia Porto de Santos (SP);;;;-23,7406942;-46,7236591;;
1469;DELPOL Metropolitano;;;;-23,5196599;-46,5984324;;
1411;OUTRAS ESPECIALIZADAS;;;;-23,5196599;-46,5984324;;
