"delegacia_id";"delegacia";"X01";"X02";"X03";"X04";"X05";"X06";"X07";"X08";"X09";"X10";"X11";"X12";"X13";"X14";"X15";"X16"
901;"099 DP - Campo Grande";2;7;1802;390;0;3;2;0;0;1;142;164;1;989;250;4
902;"098 DP - Jardim Míriam";8;37;1397;229;0;3;17;0;0;0;143;307;0;233;620;16
903;"097 DP - Americanópolis";4;16;1333;178;0;7;9;0;1;2;107;309;0;1019;384;3
904;"096 DP - Monções";7;8;2761;368;1;1;2;0;0;27;174;227;0;102;107;3
905;"095 DP - Heliópolis";16;27;912;341;0;7;7;0;0;7;128;254;0;1668;649;2
907;"093 DP - Jaguaré";6;8;1421;414;0;2;6;0;1;5;162;235;0;1022;153;6
908;"092 DP - Parque Santo Antônio";15;54;2079;484;1;6;18;0;4;8;211;480;0;2677;358;29
909;"091 DP - Ceagesp";3;7;1388;595;1;2;2;0;0;11;124;161;2;650;138;6
910;"090 DP - Parque Novo Mundo";2;12;1072;317;0;4;5;0;1;5;116;149;0;994;206;5
915;"009 DP - Carandiru";6;17;3183;638;0;4;4;0;0;23;178;278;0;1225;130;8
917;"089 DP - Portal do Morumbi";10;16;1363;175;0;5;10;0;2;7;137;234;1;1337;164;7
919;"087 DP - Vila Pereira Barreto";9;18;1005;481;0;5;8;0;1;0;137;301;0;1048;503;5
921;"085 DP - Jardim Mirna";12;53;1406;259;0;9;23;0;1;3;115;461;0;2182;299;19
923;"083 DP - Parque Bristol";7;19;608;221;0;3;4;0;1;19;98;339;0;911;345;4
925;"081 DP - Belém";3;5;705;116;0;1;2;0;0;14;91;124;0;363;31;11
926;"080 DP - Vila Joaniza";6;17;960;144;0;4;2;1;0;2;98;235;0;1032;211;13
934;"008 DP - Brás";7;13;3714;368;0;1;9;0;0;13;203;356;0;992;56;4
937;"078 DP - Jardins";4;6;997;363;0;3;2;0;1;17;210;269;0;2047;28;3
938;"077 DP - Santa Cecília";7;8;32;269;0;2;4;0;0;15;77;283;2;1349;24;4
940;"075 DP - Jardim Arpoador";8;24;838;138;0;6;10;0;4;1;105;340;0;1546;351;8
941;"074 DP - Jaraguá";14;43;1612;305;0;4;19;0;1;6;164;503;0;2301;463;18
942;"073 DP - Jaçanã";13;52;172;522;1;12;26;0;2;5;302;642;0;1871;549;23
943;"072 DP - Vila Penteado";4;21;928;144;1;2;9;0;0;11;138;297;0;1125;245;6
945;"070 DP - Vila Ema";8;24;1026;730;0;4;11;0;1;10;145;267;0;1725;652;13
957;"007 DP - Lapa";6;13;3328;1028;0;2;5;0;0;17;120;198;0;1314;177;6
959;"069 DP - Teotônio Vilela";13;44;146;903;0;6;10;0;3;10;110;403;0;1769;712;18
960;"068 DP - Lajeado";10;37;1111;208;0;4;3;0;2;8;102;311;0;1694;401;11
961;"067 DP - Jardim Robru";4;22;587;165;0;0;4;0;2;1;64;193;0;1036;241;6
962;"066 DP - Vale do Aricanduva";9;10;1573;440;0;8;6;0;1;4;127;315;0;1432;364;8
963;"065 DP - Artur Alvim";6;13;1568;331;0;0;4;0;0;1;112;253;0;947;275;5
964;"064 DP - Cidade A E Carvalho";12;32;1734;516;1;5;8;0;3;13;126;526;1;1796;454;4
