cod;delegacia
1410;001 DP - Sé
1246;002 DP - Bom Retiro
1143;003 DP - Campos Elísios
1067;004 DP - Consolação
1015;005 DP - Aclimação
983;006 DP - Cambuci
957;007 DP - Lapa
934;008 DP - Brás
915;009 DP - Carandiru
1478;01 DP Pessoa com Deficiência
1275;010 DP - Penha de França
1265;011 DP - Santo Amaro
1262;012 DP - Pari
1259;013 DP - Casa Verde
1257;014 DP - Pinheiros
1256;015 DP - Itaim Bibi
1255;016 DP - Vila Clementino
1254;017 DP - Ipiranga
1253;018 DP - Alto da Moóca
1252;019 DP - Vila Maria
1154;020 DP - Água Fria
1153;021 DP - Vila Matilde
1152;022 DP - São Miguel Paulista
1151;023 DP - Perdizes
1150;024 DP - Ponte Rasa
1149;025 DP - Parelheiros
1148;026 DP - Sacomã
1147;027 DP - Campo Belo
1146;028 DP - Freguesia do Ó
1145;029 DP - Vila Diva
1078;030 DP - Tatuapé
1077;031 DP - Vila Carrão
1076;032 DP - Itaquera
1075;033 DP - Pirituba
1074;034 DP - Vila Sonia
1073;035 DP - Jabaquara
1072;036 DP - Vila Mariana
1071;037 DP - Campo Limpo
1070;038 DP - Vila Amália
1069;039 DP - Vila Gustavo
1027;040 DP - Vila Santa Maria
1026;041 DP - Vila Rica
1025;042 DP - Parque São Lucas
1024;043 DP - Cidade Ademar
1023;044 DP - Guaianazes
1022;045 DP - Vila Brasilândia
1021;046 DP - Perus
1020;047 DP - Capão Redondo
1019;048 DP - Cidade Dutra
1018;049 DP - São Mateus
994;050 DP - Itaim Paulista
993;051 DP - Butantã
992;052 DP - Parque São Jorge
991;053 DP - Parque do Carmo
990;054 DP - Cidade Tiradentes
989;055 DP - Parque São Rafael
988;056 DP - Vila Alpina
987;057 DP - Parque da Moóca
986;058 DP - Vila Formosa
985;059 DP - Jardim Noemia
966;062 DP - Ermelino Matarazzo
965;063 DP - Vila Jacuí
964;064 DP - Cidade A E Carvalho
963;065 DP - Artur Alvim
962;066 DP - Vale do Aricanduva
961;067 DP - Jardim Robru
960;068 DP - Lajeado
959;069 DP - Teotônio Vilela
945;070 DP - Vila Ema
943;072 DP - Vila Penteado
942;073 DP - Jaçanã
941;074 DP - Jaraguá
940;075 DP - Jardim Arpoador
938;077 DP - Santa Cecília
937;078 DP - Jardins
926;080 DP - Vila Joaniza
925;081 DP - Belém
923;083 DP - Parque Bristol
921;085 DP - Jardim Mirna
919;087 DP - Vila Pereira Barreto
917;089 DP - Portal do Morumbi
910;090 DP - Parque Novo Mundo
909;091 DP - Ceagesp
908;092 DP - Parque Santo Antônio
907;093 DP - Jaguaré
905;095 DP - Heliópolis
904;096 DP - Monções
903;097 DP - Americanópolis
902;098 DP - Jardim Míriam
901;099 DP - Campo Grande
1270;100 DP - Jardim Herculano
1269;101 DP - Jardim das Imbuias
1268;102 DP - Socorro
1267;103 DP - Cohab Itaquera
1251;1ª DDM - 1ª Seccional - Centro
1144;2ª DDM - 2ª Seccional - Sul
1068;3ª DDM - 3ª Seccional - Oeste
1017;4ª DDM - 4ª Seccional - Norte
984;5ª DDM - 5ª Seccional - Leste
958;6ª DDM - 6ª Seccional - Santo Amaro
935;7ª DDM - 7ª Seccional - Itaquera
916;8ª DDM - 8ª Seccional São Mateus
900;9ª DDM - 3ª Seccional - Oeste
1476;Central de Flagrantes II - 91 DP
773;Del. Aeroporto Int. SP - Guarulhos (SP)
772;Del. Aeroporto Int. Viracopos - CPS (SP)
771;Del. Aeroporto SP - Congonhas
764;Del. Pol. Atendimento ao Turista
11;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
4;Delegacia do Idoso - 2ª Seccional - Sul
5;Delegacia do Idoso - 3ª Seccional - Oeste
6;Delegacia do Idoso - 4ª Seccional - Norte
7;Delegacia do Idoso - 5ª Seccional - Leste
8;Delegacia do Idoso - 6ª Secional - Santo Amaro
9;Delegacia do Idoso - 7ª Seccional - Itaquera
10;Delegacia do Idoso - 8ª Seccional - São Mateus
758;Delegacia Porto de Santos (SP)
1469;DELPOL Metropolitano
1411;OUTRAS ESPECIALIZADAS
