"";"delegacia_id";"delegacia";"X01";"X02";"X03";"X04";"X05";"X06";"X07";"X08";"X09";"X10";"X11";"X12";"X13";"X14";"X15";"grupos.ward"
"1";901;"099 DP - Campo Grande";2;7;1,802;390;0;0;1;142;164;989;13;250;4;3;3;1
"2";902;"098 DP - Jardim Míriam";8;37;1,397;229;0;0;0;143;307;2,33;19;620;16;3;17;2
"3";903;"097 DP - Americanópolis";4;16;1,333;178;0;1;2;107;309;1,019;8;384;3;7;9;3
"4";904;"096 DP - Monções";7;8;2,761;368;1;0;27;174;227;1,02;18;107;3;1;2;3
"5";905;"095 DP - Heliópolis";16;27;912;341;0;0;7;128;254;1,668;53;649;2;7;7;4
"6";907;"093 DP - Jaguaré";6;8;1,421;414;0;1;5;162;235;1,022;62;153;6;2;6;3
"7";908;"092 DP - Parque Santo Antônio";15;54;2,079;484;1;4;8;211;480;2,677;37;358;29;6;18;5
"8";909;"091 DP - Ceagesp";3;7;1,388;595;1;0;11;124;161;650;55;138;6;2;4;1
"9";910;"090 DP - Parque Novo Mundo";2;12;1,072;317;0;1;5;116;149;994;163;206;5;4;5;1
"10";915;"009 DP - Carandiru";6;17;3,183;638;0;0;23;178;278;1,225;45;130;8;4;4;3
"11";917;"089 DP - Portal do Morumbi";10;16;1,363;175;0;2;7;137;234;1,337;17;164;7;5;11;3
"12";919;"087 DP - Vila Pereira Barreto";9;18;1,005;481;0;1;0;137;301;1,048;35;503;5;5;8;3
"13";921;"085 DP - Jardim Mirna";12;53;1,406;259;0;1;3;115;461;2,182;80;299;19;9;23;2
"14";923;"083 DP - Parque Bristol";7;19;608;221;0;1;19;98;339;911;20;345;4;3;4;4
"15";925;"081 DP - Belém";3;5;705;116;0;0;14;91;124;363;33;31;11;1;2;4
"16";926;"080 DP - Vila Joaniza";6;17;960;144;0;0;2;98;235;1,032;19;211;13;5;2;4
"17";934;"008 DP - Brás";7;13;3,714;368;0;0;13;203;356;992;37;56;4;1;9;1
"18";937;"078 DP - Jardins";4;6;9,97;363;0;1;17;210;269;2,047;5;28;3;3;2;3
"19";938;"077 DP - Santa Cecília";7;8;3,2;269;0;0;15;77;283;1,349;4;24;4;2;6;3
"20";940;"075 DP - Jardim Arpoador";8;24;838;138;0;4;1;105;340;1,546;63;351;8;6;10;4
"21";941;"074 DP - Jaraguá";14;43;1,612;305;0;1;6;164;503;2,301;146;463;18;4;19;2
"22";942;"073 DP - Jaçanã";13;52;1,72;522;1;2;5;302;642;1,871;93;549;23;12;26;5
"23";943;"072 DP - Vila Penteado";4;21;928;144;1;0;11;138;297;1,125;62;245;6;2;9;4
"24";945;"070 DP - Vila Ema";8;24;1,026;730;0;1;10;145;267;1,725;63;652;13;4;11;3
"25";957;"007 DP - Lapa";6;13;3,328;1,028;0;0;17;120;198;1,314;32;177;6;2;5;3
"26";959;"069 DP - Teotônio Vilela";13;44;1,46;903;0;3;10;110;403;1,769;50;712;18;6;10;3
"27";960;"068 DP - Lajeado";10;37;1,111;208;0;2;8;102;311;1,694;21;401;11;4;3;3
"28";961;"067 DP - Jardim Robru";4;22;587;165;0;2;1;64;193;1,036;22;241;6;0;4;4
"29";962;"066 DP - Vale do Aricanduva";9;10;1,573;440;0;1;4;127;315;1,432;54;364;8;8;6;3
"30";963;"065 DP - Artur Alvim";6;13;1,568;331;0;0;1;112;253;947;13;275;5;0;4;1
"31";964;"064 DP - Cidade A E Carvalho";12;32;1,734;516;1;3;13;126;526;1,796;28;454;4;5;9;3
"32";965;"063 DP - Vila Jacuí";8;25;1,39;497;0;2;15;119;363;1,605;37;372;11;5;10;3
"33";966;"062 DP - Ermelino Matarazzo";7;21;1,419;375;0;1;11;118;289;1,224;17;135;4;5;8;3
"34";983;"006 DP - Cambuci";5;12;1,697;780;1;1;9;134;260;770;18;137;4;3;3;1
"35";985;"059 DP - Jardim Noemia";4;22;773;144;0;2;4;73;282;1,283;18;287;9;3;5;4
"36";986;"058 DP - Vila Formosa";2;10;614;477;0;0;3;64;165;506;9;107;1;1;2;4
"37";987;"057 DP - Parque da Moóca";4;3;772;369;0;1;9;85;155;354;10;78;2;1;0;4
"38";988;"056 DP - Vila Alpina";3;11;1,527;704;0;0;5;137;179;945;33;306;7;2;0;1
"39";989;"055 DP - Parque São Rafael";6;18;764;277;0;2;3;51;233;1,206;89;752;9;4;8;4
"40";990;"054 DP - Cidade Tiradentes";6;55;1,17;258;0;0;8;122;450;1,211;85;407;12;2;11;2
"41";991;"053 DP - Parque do Carmo";11;22;1,183;515;1;0;7;127;343;1,141;56;477;4;1;12;3
"42";992;"052 DP - Parque São Jorge";6;5;1,726;433;0;0;13;83;149;591;37;54;3;4;2;1
"43";993;"051 DP - Butantã";7;20;1,882;246;0;0;10;154;336;1,547;41;351;6;5;4;3
"44";994;"050 DP - Itaim Paulista";17;48;2,268;406;0;0;16;161;467;3,036;57;651;16;5;11;2
"45";1015;"005 DP - Aclimação";8;10;2,999;538;1;2;25;118;294;1,12;8;35;3;1;4;3
"46";1018;"049 DP - São Mateus";16;39;2,453;939;2;0;3;214;385;2,518;195;1,208;20;7;12;5
"47";1019;"048 DP - Cidade Dutra";6;19;1,497;200;0;1;4;77;181;944;14;167;7;0;2;1
"48";1020;"047 DP - Capão Redondo";20;46;1,76;378;1;2;5;267;787;3,612;212;480;27;11;19;5
"49";1021;"046 DP - Perus";20;39;1,479;399;3;0;24;192;510;1,684;262;460;27;20;21;5
"50";1022;"045 DP - Vila Brasilândia";6;21;755;107;0;0;9;84;292;912;28;143;6;1;15;4
"51";1023;"044 DP - Guaianazes";10;25;1,56;220;0;1;7;112;388;1,635;63;578;12;2;14;2
"52";1024;"043 DP - Cidade Ademar";6;12;983;143;0;0;1;105;272;1,156;6;446;5;1;7;4
"53";1025;"042 DP - Parque São Lucas";6;15;878;769;0;0;5;151;248;1,209;24;329;9;7;2;4
"54";1026;"041 DP - Vila Rica";12;18;1,406;813;0;0;12;151;327;1,569;28;362;9;2;4;3
"55";1027;"040 DP - Vila Santa Maria";9;11;1,155;283;0;1;3;165;306;943;40;236;10;4;1;1
"56";1067;"004 DP - Consolação";15;13;6,734;268;0;1;10;87;228;2,559;7;14;3;4;2;3
"57";1069;"039 DP - Vila Gustavo";16;22;1,752;1,142;0;1;4;194;337;1,067;30;167;11;1;6;3
"58";1070;"038 DP - Vila Amália";7;30;1,405;384;1;2;2;165;330;1,211;15;191;4;8;3;3
"59";1071;"037 DP - Campo Limpo";11;42;2,222;485;2;3;4;289;564;3,128;127;612;11;16;23;5
