"","Natureza","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total","delegacia_id"
"1","HOMICÍDIO DOLOSO (2)",0,3,0,4,2,1,0,1,2,2,0,0,15,1410
"2","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,3,0,4,2,1,0,1,2,2,0,0,15,1410
"3","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1410
"4","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1410
"5","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,1,0,1,0,0,0,0,2,1410
"6","HOMICÍDIO CULPOSO OUTROS",1,1,0,0,0,0,0,0,0,0,0,0,2,1410
"7","TENTATIVA DE HOMICÍDIO",0,0,0,1,1,2,2,0,4,0,2,2,14,1410
"8","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1410
"9","LESÃO CORPORAL DOLOSA",44,36,45,31,29,27,18,30,29,39,31,37,396,1410
"10","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",9,7,12,15,7,11,7,8,17,12,16,13,134,1410
"11","LESÃO CORPORAL CULPOSA - OUTRAS",2,0,1,1,0,2,0,0,2,2,3,2,15,1410
"12","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,1,1,1410
"13","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,1,1,1410
"14","TOTAL DE ESTUPRO (4)",6,2,5,4,1,1,0,0,2,6,2,0,29,1410
"15","ESTUPRO",1,2,4,4,1,1,0,0,2,2,1,0,18,1410
"16","ESTUPRO DE VULNERÁVEL",5,0,1,0,0,0,0,0,0,4,1,0,11,1410
"17","TOTAL DE ROUBO - OUTROS (1)",397,343,314,322,329,269,224,247,236,348,295,234,3.558,1410
"18","ROUBO - OUTROS",380,329,304,313,324,265,215,233,222,334,275,227,3.421,1410
"19","ROUBO DE VEÍCULO",2,5,4,4,4,0,8,3,2,4,6,4,46,1410
"20","ROUBO A BANCO",0,0,0,0,0,0,1,0,0,0,0,0,1,1410
"21","ROUBO DE CARGA",17,14,10,9,5,4,8,14,14,14,20,7,136,1410
"22","FURTO - OUTROS",1.284,1.211,1.133,1.032,896,820,820,841,933,1.375,986,1.021,12.352,1410
"23","FURTO DE VEÍCULO",13,10,14,8,12,2,1,15,8,25,13,10,131,1410
"24","HOMICÍDIO DOLOSO (2)",2,0,0,0,1,0,1,0,0,0,1,2,7,1246
"25","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",2,0,0,0,1,0,1,0,0,0,1,2,7,1246
"26","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1246
"27","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1246
"28","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,1,0,0,0,0,1,1246
"29","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1246
"30","TENTATIVA DE HOMICÍDIO",2,0,0,0,0,2,0,0,2,0,0,1,7,1246
"31","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1246
"32","LESÃO CORPORAL DOLOSA",10,21,12,16,10,10,12,7,8,12,12,9,139,1246
"33","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",6,5,20,12,8,2,7,1,8,5,4,12,90,1246
"34","LESÃO CORPORAL CULPOSA - OUTRAS",0,3,0,1,0,1,1,0,1,0,2,5,14,1246
